[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53567
[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 52.182.143.208:443 -> 10.184.0.59:53557
[15:48:46] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:52273 -> 10.184.0.171:53
[15:48:46] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:64753 -> 10.184.0.171:53
[15:48:46] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:61827 -> 10.184.0.171:53
[15:48:46] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:50797 -> 10.184.0.171:53
[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53571 -> 140.82.112.21:443
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:46] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:46] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53571
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:64753 -> 10.184.0.171:53
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:52273 -> 10.184.0.171:53
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:50797 -> 10.184.0.171:53
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:61827 -> 10.184.0.171:53
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:52273
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:64753
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:61827
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:50797
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 52.182.143.208:443 -> 10.184.0.59:53565
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53571
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 52.182.143.208:443 -> 10.184.0.59:53566
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:63864 -> 10.184.0.171:53
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:58749 -> 10.184.0.171:53
[15:48:47] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:51931 -> 10.184.0.171:53
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:47] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:63864
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:51931
[15:48:47] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:58749
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53567
[15:48:47] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:48] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:48] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:50390 -> 10.184.0.171:53
[15:48:48] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:60788 -> 10.184.0.171:53
[15:48:48] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53580 -> 140.82.112.21:443
[15:48:48] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:48] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:48] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
